,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,0,157,45,48,8,6,6,2,0,0,0,0,0,0,0,0,8,0,7,0,3,24,2,3,4,0,0,43,0,0,0
3,88,0,110,2249,109,21,14,46,15,0,0,0,0,0,0,9,0,8,0,22,9,16,26,6,0,12,0,1,150,0,0,1
4,141,0,60,38,1000,77,33,69,6,0,0,2,0,0,1,11,4,2,0,19,7,36,31,8,1,27,0,1,309,0,0,2
5,1,0,0,2,6,11681,70,248,24,0,0,0,0,0,0,1,9,2,1,14,3,7,5,6,0,3,0,0,9,0,0,0
6,0,0,3,5,4,1766,1759,331,31,0,0,0,0,0,0,139,3,1,11,34,9,8,27,13,0,11,0,0,35,0,0,0
7,2,0,4,10,19,1889,457,55252,767,0,0,1,0,0,0,49,49,9,10,106,19,30,45,40,0,16,0,0,77,0,0,0
8,0,0,0,2,0,50,13,83,143,0,0,0,0,0,0,2,1,1,1,8,2,0,2,0,0,0,0,0,3,0,0,0
9,0,0,0,0,2,64,0,39,56,0,0,0,0,0,2,0,0,1,1,6,1,14,2,0,1,2,0,0,2,0,0,0
10,0,0,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
11,0,0,1,0,0,8,75,160,24,0,0,1,0,0,0,18,0,1,1,2,1,1,1,0,0,0,0,2,2,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4
14,2,0,1,1,4,8,1,7,0,0,0,0,0,0,15,0,0,5,0,4,13,21,2,1,0,4,0,0,14,0,0,2
15,1,0,3,3,5,51,415,159,3,0,0,3,0,0,0,346,23,2,5,23,7,6,43,9,0,7,0,4,13,0,0,0
16,0,0,0,0,1,54,6,25,10,0,0,0,0,0,0,5,74,0,0,2,0,1,2,2,0,0,0,0,2,0,0,0
17,0,0,2,5,2,10,2,6,1,0,0,0,0,0,0,3,0,713,1,4,13,20,60,2,10,2,0,2,21,0,0,0
18,0,0,0,0,0,27,674,18,0,0,0,0,0,0,0,137,0,0,2491,62,7,7,32,11,1,603,0,47,6,0,0,0
19,0,0,0,0,0,14,17,17,0,0,0,0,0,0,0,1,3,3,4,10064,1,1,3,4,0,15,0,0,7,0,0,0
20,0,0,23,14,7,38,46,180,0,0,0,0,0,2,23,13,0,45,2,48,4763,1372,83,50,47,36,0,1,111,0,0,11
21,5,0,11,18,28,69,80,159,2,0,0,0,0,2,13,21,1,69,3,43,3213,11808,90,62,105,29,0,7,82,0,0,1
22,0,0,18,6,1,4,13,17,0,0,0,0,0,0,1,3,0,248,0,6,21,27,5992,24,423,48,0,4,2,0,0,0
23,0,0,5,18,1,8,9,30,0,0,0,0,0,0,0,2,1,40,0,8,13,19,130,10630,0,99,0,0,10,0,0,1
24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,22,0,0,1,0,0,0,0
25,0,0,0,2,0,54,5,5,2,0,0,0,0,0,1,0,0,1,7,68,6,3,96,16,0,1834,0,9,3,0,0,0
26,0,0,2,2,1,7,0,2,0,0,0,0,0,0,0,0,0,72,0,1,7,31,173,1,14,19,0,1,3,0,0,0
27,0,0,1,1,0,5,9,2,5,0,0,0,0,0,0,0,1,1,8,0,0,0,6,0,1,12,0,59,1,0,0,0
28,358,0,127,178,933,440,150,1068,88,0,0,7,0,2,3,76,18,88,16,308,491,495,275,125,12,77,0,3,6421,0,0,26
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0
30,81,0,5,25,224,16,5,38,6,0,0,0,0,0,0,4,4,2,0,7,3,84,9,5,0,7,0,0,380,0,0,4
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,0,2,0,1,13,0,0,8
